text,label
咖啡店：咖啡 480元,4
咖啡店：可樂 110元,4
茶餐廳早餐：炒飯 46元，大麥克 13元,4
電費單：空調使用 828元,2
停車費：商場停車場 717元,1
演唱會門票：海洋公園 47元,3
煤氣費：煮飯用氣 59元,2
演唱會門票：VIP座位 992元,3
茶餐廳早餐：蛋撻 26元，炒飯 86元,4
KTV唱歌：兩小時包廂 734元,3
超市購物：橘子 25元，牙膏 10元,0
酒吧飲料：咖啡 50元，可樂 97元,4
KTV唱歌：兩小時包廂 355元,3
超市購物：薯片 42元，橘子 58元,0
電費單：空調使用 969元,2
電影票：紅磡體育館門票 953元,3
餐廳用餐：牛扒 44元，炒飯 64元,4
電影票：UA戲院門票 501元,3
菜市場買菜：橘子 39元，牛奶 65元,0
餐廳晚餐：中環高級餐廳 665元,3
餐廳晚餐：尖沙咀高級餐廳 846元,3
餐廳晚餐：中環高級餐廳 994元,3
水電費：本月水費 389元,2
超市購物：牛奶 42元，洗衣粉 35元,0
巴士票：九龍到尖沙咀 21元,1
電影票：VIP座位門票 143元,3
餐廳用餐：大麥克 29元，大麥克 76元,4
水果攤：牙膏 35元，薯片 63元,0
巴士票：公司到尖沙咀 838元,1
演唱會門票：紅磡體育館 279元,3
水果攤：薯片 10元，蘋果 53元,0
菜市場買菜：橘子 13元，牙膏 84元,0
煤氣費：煮飯用氣 872元,2
茶餐廳早餐：蛋撻 34元，牛扒 11元,4
巴士票：中環到家 599元,1
水費：本月 118元,2
茶餐廳早餐：意粉 40元，意粉 68元,4
電影票：海洋公園門票 911元,3
演唱會門票：VIP座位 535元,3
快餐：蛋撻套餐 863元,4
水電費：本月水費 189元,2
家用品：橘子 6元，青菜 45元,0
水電費：本月水費 986元,2
KTV唱歌：兩小時包廂 448元,3
電影票：UA戲院門票 490元,3
寬頻費：每月網絡 188元,2
茶餐廳早餐：意粉 19元，炒飯 69元,4
煤氣費：煮飯用氣 420元,2
餐廳用餐：蛋撻 48元，大麥克 39元,4
巴士票：家到尖沙咀 345元,1
便利店零食：豬肉 48元，牛奶 13元,0
餐廳晚餐：尖沙咀高級餐廳 138元,3
便利店零食：薯片 8元，牛奶 38元,0
水電費：本月水費 816元,2
KTV唱歌：兩小時包廂 826元,3
的士費：從中環到九龍 756元,1
停車費：商場停車場 696元,1
演唱會門票：紅磡體育館 746元,3
快餐：大麥克套餐 109元,4
水費：本月 982元,2
咖啡店：啤酒 828元,4
家用品：薯片 7元，飲料 27元,0
地鐵票：尖沙咀到尖沙咀 392元,1
煤氣費：煮飯用氣 915元,2
咖啡店：奶茶 379元,4
菜市場買菜：薯片 16元，飲料 82元,0
菜市場買菜：橘子 35元，洗衣粉 91元,0
地鐵票：公司到尖沙咀 521元,1
超市購物：香蕉 50元，蘋果 29元,0
KTV唱歌：兩小時包廂 349元,3
餐廳用餐：蛋撻 18元，蛋撻 70元,4
寬頻費：每月網絡 584元,2
的士費：從家到家 973元,1
茶餐廳早餐：蛋撻 36元，蛋撻 72元,4
煤氣費：煮飯用氣 465元,2
煤氣費：煮飯用氣 737元,2
電影票：VIP座位門票 248元,3
水電費：本月水費 601元,2
地鐵票：中環到九龍 864元,1
KTV唱歌：兩小時包廂 977元,3
快餐：大麥克套餐 312元,4
水電費：本月水費 348元,2
巴士票：尖沙咀到中環 780元,1
停車費：商場停車場 550元,1
地鐵票：家到家 964元,1
餐廳用餐：大麥克 27元，炒飯 78元,4
巴士票：家到家 194元,1
停車費：商場停車場 959元,1
水費：本月 767元,2
電費單：空調使用 885元,2
快餐：意粉套餐 266元,4
電影票：紅磡體育館門票 677元,3
快餐：意粉套餐 925元,4
巴士票：中環到尖沙咀 607元,1
水費：本月 237元,2
便利店零食：飲料 48元，香蕉 77元,0
菜市場買菜：豬肉 33元，洗衣粉 53元,0
的士費：從家到九龍 843元,1
演唱會門票：海洋公園 958元,3
餐廳用餐：蛋撻 45元，大麥克 41元,4
停車費：商場停車場 598元,1
演唱會門票：UA戲院 889元,3
餐廳晚餐：尖沙咀高級餐廳 195元,3
餐廳晚餐：中環高級餐廳 965元,3
水費：本月 497元,2
便利店零食：牛奶 47元，牛奶 75元,0
水費：本月 487元,2
超市購物：薯片 50元，牛奶 18元,0
電費單：空調使用 34元,2
電影票：VIP座位門票 661元,3
停車費：商場停車場 746元,1
茶餐廳早餐：牛扒 48元，大麥克 12元,4
寬頻費：每月網絡 466元,2
停車費：地下停車場 266元,1
茶餐廳早餐：大麥克 43元，意粉 24元,4
家用品：洗衣粉 23元，飲料 33元,0
快餐：大麥克套餐 229元,4
餐廳用餐：意粉 39元，意粉 48元,4
電影票：UA戲院門票 168元,3
酒吧飲料：咖啡 8元，咖啡 69元,4
茶餐廳早餐：大麥克 7元，蛋撻 73元,4
水電費：本月水費 214元,2
停車費：商場停車場 45元,1
地鐵票：中環到九龍 918元,1
巴士票：尖沙咀到公司 155元,1
演唱會門票：紅磡體育館 408元,3
煤氣費：煮飯用氣 939元,2
咖啡店：咖啡 552元,4
電影票：UA戲院門票 335元,3
便利店零食：飲料 11元，牛奶 58元,0
酒吧飲料：啤酒 39元，咖啡 28元,4
巴士票：公司到中環 493元,1
演唱會門票：UA戲院 315元,3
便利店零食：飲料 42元，薯片 69元,0
電影票：海洋公園門票 71元,3
煤氣費：煮飯用氣 35元,2
的士費：從公司到尖沙咀 929元,1
酒吧飲料：奶茶 32元，可樂 92元,4
水果攤：蘋果 19元，青菜 19元,0
寬頻費：每月網絡 955元,2
菜市場買菜：香蕉 23元，青菜 35元,0
巴士票：中環到公司 303元,1
水費：本月 356元,2
快餐：意粉套餐 970元,4
餐廳晚餐：中環高級餐廳 641元,3
家用品：牛奶 44元，香蕉 11元,0
煤氣費：煮飯用氣 262元,2
咖啡店：奶茶 116元,4
酒吧飲料：啤酒 18元，咖啡 41元,4
超市購物：洗衣粉 48元，豬肉 71元,0
演唱會門票：紅磡體育館 50元,3
停車費：地下停車場 977元,1
的士費：從中環到公司 682元,1
酒吧飲料：可樂 15元，咖啡 77元,4
酒吧飲料：奶茶 9元，啤酒 43元,4
水費：本月 73元,2
演唱會門票：UA戲院 794元,3
咖啡店：啤酒 438元,4
停車費：商場停車場 805元,1
超市購物：牙膏 27元，青菜 41元,0
便利店零食：薯片 17元，牙膏 49元,0
咖啡店：奶茶 729元,4
超市購物：薯片 7元，橘子 78元,0
寬頻費：每月網絡 687元,2
巴士票：公司到中環 228元,1
地鐵票：中環到尖沙咀 704元,1
KTV唱歌：兩小時包廂 315元,3
電費單：空調使用 94元,2
KTV唱歌：兩小時包廂 51元,3
電費單：空調使用 777元,2
餐廳用餐：蛋撻 49元，大麥克 15元,4
餐廳用餐：大麥克 33元，蛋撻 46元,4
酒吧飲料：咖啡 20元，可樂 47元,4
KTV唱歌：兩小時包廂 673元,3
快餐：牛扒套餐 417元,4
演唱會門票：UA戲院 366元,3
便利店零食：洗衣粉 37元，橘子 91元,0
巴士票：尖沙咀到家 502元,1
電費單：空調使用 558元,2
菜市場買菜：牙膏 17元，青菜 66元,0
菜市場買菜：薯片 32元，橘子 24元,0
水電費：本月水費 272元,2
便利店零食：橘子 16元，青菜 64元,0
水電費：本月水費 363元,2
便利店零食：蘋果 27元，洗衣粉 10元,0
煤氣費：煮飯用氣 690元,2
餐廳用餐：蛋撻 48元，大麥克 65元,4
餐廳晚餐：尖沙咀高級餐廳 880元,3
停車費：地下停車場 700元,1
菜市場買菜：香蕉 35元，洗衣粉 29元,0
水果攤：豬肉 18元，牙膏 57元,0
水費：本月 218元,2
便利店零食：牙膏 21元，薯片 91元,0
水電費：本月水費 755元,2
演唱會門票：UA戲院 82元,3
茶餐廳早餐：蛋撻 43元，牛扒 47元,4
停車費：商場停車場 840元,1
餐廳晚餐：尖沙咀高級餐廳 69元,3
便利店零食：牙膏 28元，蘋果 12元,0
咖啡店：啤酒 230元,4
停車費：商場停車場 327元,1
寬頻費：每月網絡 357元,2
演唱會門票：UA戲院 561元,3
水費：本月 13元,2
寬頻費：每月網絡 547元,2
水費：本月 913元,2
電影票：海洋公園門票 608元,3
酒吧飲料：可樂 46元，可樂 83元,4
茶餐廳早餐：炒飯 36元，蛋撻 20元,4
水果攤：豬肉 27元，香蕉 52元,0
家用品：飲料 36元，洗衣粉 99元,0
餐廳用餐：意粉 40元，大麥克 94元,4
餐廳用餐：牛扒 38元，大麥克 60元,4
酒吧飲料：可樂 37元，咖啡 15元,4
停車費：地下停車場 159元,1
巴士票：中環到九龍 872元,1
家用品：蘋果 13元，飲料 15元,0
停車費：商場停車場 129元,1
